annotator	(temporary) BGC id	compound name	biological activity 1	biological activity 2	biological activity 3	biological activity 4	if antibacterial, Gram-positive or -negative?	molecular target 1	molecular target 2	molecular target 3	molecular target 4	PubMed ID	doi	Comments	
Damien Gayrard	BGC0001478	desferrioxamine E	Siderophore	Cytotoxic	Antioxidant							2978958 / 21376551	10.1007/BF01128017 / 10.1016/j.micres.2011.01.004	INhibits biofilm formation, PMID: 21628895	
Damien Gayrard	BGC0001846	valinomycin, montanastatin	Antifungal	Antibacterial	Cytotoxic	Other						31375920 / 10400343 / 16595926 / 16511823 / 10.1002/cbic.200500425	10.1007/s11274-019-2704-z / 10.1016/s0968-0896(99)00024-3 / 10.1248/bpb.29.817 / 		
Damien Gayrard	BGC0001849	thiovarsolin A, thiovarsolin B, thiovarsolin C, thiovarsolin D	Cytotoxic									30916321	https://doi.org/10.1093/nar/gkz192		
Nelly	BGC0001850	diazaquinomycin A, diazaquinomycin E, diazaquinomycin F, diazaquinomycin G	Cytotoxic									30896942; 24921978			
Nelly	BGC0001851	komodoquinone B	Cytotoxic											Induces neuronal cell differentiation, PMID: 14575440	
Nelly	BGC0001852	komodoquinone B	Cytotoxic											Induces neuronal cell differentiation, PMID: 14575441	
Nicole Avalon	BGC0001856	caniferolide A, caniferolide B, caniferolide C, caniferolide D	Antifungal	Cytotoxic	Other							30821469	10.1039/C8OB03115K // 10.1021/acs.molpharmaceut.8b01090	Attenuates neuroinflamation and oxidative stress; antifungal activity against Candida albicans and Aspergillus fumigatus; antiproliferative effects against mutiple human tumor cell lines	
Nelly	BGC0001877	cyphomycin	Antifungal	Antihelmintic								30705269			
Paco BG			Antibacterial	Cytotoxic			both	Zinc homeostasis	Zinc-dependent metalloproteins			32049520		Similar biosynthetic class (Dithiolopyrrolones) and MoA than holomycin, thiolutin, xenorhabdins and thiomarinols,	
Valentin	NEW0000543	Toyoncin	Antibacterial				Gram-positive	Cell membrane				33811023			
Chao Du	NEW0000576	cerecyclin	Antibacterial				Gram-positive					32487738	10.1128/mSystems.00047-20		
Valentin	NEW0000541	Longicatenamide A	Antibacterial				both					33483628		only Longicatenamide A showed any activity	
Valentin	NEW0000540	diastaphenazine	Antibacterial	Cytotoxic			Gram-positive		Apoptosis by TRAIL			25227502			
Valentin	NEW0000592	lagriene	Antibacterial				Gram-positive					28452358			
Valentin	NEW0000690	K-41A	Antibacterial	Antimalarial	antiviral		Gram-positive					9711256 ; 12458776	10.5114/aoms.2020.98038 		
Valentin	NEW0000709	acrophiarin	Antifungal									32239586			
Justin vd Hooft	BGC0002073	dehydroxynocardamine (syn. terragine E)	Siderophore									30578265	10.1128/AEM.02406-18		
Hannah	NEW0000749	5-epi-jinkoheremol / debneyol	Antifungal	Antifungal								34644092	10.1021/acs.jnatprod.1c00588		
Valentin	NEW0000594	Alchivemycin A	Antibacterial	Antiproliferative			Gram-positive					20670006			
Valentin	NEW0000678	tripartilactam / niizalactam C	Inhibitor					Na+/K+ ATPase				26624939		tripartilactam = niizalactam C	
Valentin	NEW0000713	cytoglobosin X	Unknown									31897521			
Bita	BGC0002067	Atpenin B	Antifungal	Antibacterial	Inhibitor		both					2276974; 3209470; 12515859; 	https://doi.org/10.7164/antibiotics.41.1769; https://doi.org/10.1038/ja.2009.20 ; 10.1073/pnas.0237315100 	also inhibit the growth of human prostate cancer cells	
Dong Yang	NEW0000763	Rifamorpholine A / Rifamorpholine B /Rifamorpholine C / Rifamorpholine D / Rifamorpholine E	Antibacterial				Gram-positive					28422262	10.1039/c7ob00614d		
Bita	NEW0000764	Rosamicin	Antibacterial				both					2272924	10.7164/antibiotics.43.1497		
Dong Yang	NEW0000624	Huanglongmycin A / HuanglongmycinB /Huanglongmycin C 	Cytotoxic	Antibacterial			both					30013965	10.3389/fchem.2018.00254		
Lotte	NEW0000318	brasiliquinone B	Antibacterial	Cytotoxic			Gram-positive					9066761	https://doi.org/10.7164/antibiotics.50.18		
Dong Yang	NEW0000361	ammosester A / ammosester B/ ammosester C	Cytotoxic									33982054	10.1093/jimb/kuab027		
Lotte	NEW0000226	triacsin A / triacsin B	Inhibitor					acetyl-CoA synthetase				3781919	https://doi.org/10.7164/antibiotics.39.1211		
Chao DU	NEW0000730	penifulvin A	Other									30908782	10.1002/anie.201813722	Insecticidal	
Chao DU	NEW0000723	Ansaseomycin A / Ansaseomycin B	Cytotoxic									29439203	10.1021/acs.orglett.9b01237	Against K562 (leukemia) cell lines IC50 values of 13.3 (Ansaseomycin A) and 18.1 (Ansaseomycin B) μM	
Chao DU	NEW0000702	Loonamycin A	Cytotoxic									32484694	10.1021/acs.orglett.0c01456	Against eight cancer cell lines with IC50 values ranging from 41 to 283 nM Cell line Cancer type IC50 (nM) SH-SY5Y Neuroblastoma 283.6 SUM1315 Breast cancer 121.3 HT29 Colorectal cancer 81.3 SW620 Colorectal cancer 90.5 HCT116 Colorectal cancer 31.4 Hela Cervical cancer 100.1 SW872 Liposarcoma 92.3 HCC78 Lung cancer 41.5 	
Satria	NEW0000296	conidiogenone	Other	Signalling									10.1016/S0040-4039(02)01493-4	induce conidiation (asexual reproduction)	
Satria	NEW0000297 / NEW0000779	alkylpyrone-407	Inhibitor	Cytotoxic				bacterial topoisomerase IV	human topoisomerase I			30506464			
Aruna Vigneshwari	NEW0000323	Protegencin	Other										10.1101/2021.03.24.436739	Antagonistic against C.reinhardtii	
Nicole Avalon	NEW0000626	amipurimycin	Antifungal									557031, 7255201	10.7164/antibiotics.30.1		
Satria	NEW0000299	fusaoctaxin A	Other	Inhibitor				plant cell defense response				30804501	10.1038/s41467-019-08726-9		
Afif	NEW0000734	Thiostreptamide S4	Other	Cytotoxic										potent selective anticancer	
Xiaoyu Tang	BGC0002058	reutericyclin A/B/C	Antibacterial				Gram-positive	cell membrane				11010877; 31906623	10.1128/aem.66.10.4325-4333.2000; 10.1021/acsinfecdis.9b00365		
Xiaoyu Tang	BGC0002058	mutanocyclin	Inhibitor									31413323	10.1038/s41467-019-11673-0	anti-inflammatory activity	
Nicole Avalon	NEW0000014	peramine													
Nicole Avalon	NEW0000016	peramine													
Nicole Avalon	NEW0000260	albomycin													
Nicole Avalon	NEW0000778	azolemycin A													
Nicole Avalon	NEW0000778	azolemycin B													
Nicole Avalon	NEW0000778	azolemycin C													
Nicole Avalon	NEW0000778	azolemycin D													
Nicole Avalon	NEW0000379	mediomycin A													
Nicole Avalon	NEW0000265	varicidin A 													
Nicole Avalon	NEW0000417	bombyxamycin A													
Nicole Avalon	NEW0000417	bombyxamycin B													
Nicole Avalon	NEW0000604	coformycin													
Nicole Avalon	NEW0000374	pyrazofurin													
Nicole Avalon	NEW0000610	legonoxamine A													
Nicole Avalon	NEW0000610	legonoxamine B													
Nicole Avalon	NEW0000610	desferrioxamine B 													
Nicole Avalon	NEW0000268	humidimycin													
Nicole Avalon		Nanangelenin A													
Nicole Avalon	NEW0000685	pseudodesmin	Antibacterial									https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7409209/			
Nicole Avalon		Nocardiopsistin	Antibacterial											anti-MRSA	
Athina Gavriilidou	NEW0000897	rimomycin-A/B/C	Antibacterial	Inhibitor			Gram-positive	PG					10.1021/acscentsci.1c01389	inhibitor of autolysins. has shown broader antibacterial activity agains efflux pump and outer-membrane-compromised bacteria	
Athina Gavriilidou	NEW0000898	misaugamycin-A/B	Antibacterial	Inhibitor			Gram-positive	PG					10.1021/acscentsci.1c01389	inhibitor of autolysins	
Dong Yang	NEW0001034	clipibicyclene	Antibacterial					ClpP, caseinolytic protease				35246663	10.1038/s41564-022-01073-4		
Serina	NEW0000919	aquimarin A / aquimarin B / aquimarin C / aquimarin D / aquimarin / G / aquimarin H	Antibacterial				Gram-positive					34918870	10.1002/anie.202115802		
Serina	NEW0000921	fluopsin C	Antibacterial				both					34793213	10.1126/science.abj6749		
Serina	NEW0000922	hancockinone A	Antibacterial				Gram-positive					34747627	10.1021/acs.orglett.1c03283	weak activity, µM range	
Athina Gavriilidou	NEW0001042	GP6738	Antibacterial	Inhibitor			Gram-positive	PG				33067466	10.1038/s41467-020-19138-5	inhibitor of autolysins	
